[2025-07-11 00:00:31,157] INFO [QuorumController id=1] Replaying ProducerIdsRecord ProducerIdsRecord(brokerId=1, brokerEpoch=7, nextProducerId=1000) (org.apache.kafka.controller.ProducerIdControlManager)
[2025-07-11 00:03:24,088] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-30 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,089] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-31 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,089] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-32 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,089] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-33 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,090] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-34 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,090] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-35 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,091] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-36 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,091] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-37 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,091] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-38 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,092] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-39 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
